tribal_name,year,ff_days,near_thresh_days,temp_mean,temp_max,rh_mean,rh_min,wind_mean,wind_max,bi_mean,bi_max,criteria_mean
Creek,2023,0,4,86.209347826087,103.73000000000005,43.28152173913043,18.0,8.33624868478261,18.790296,23.467391304347824,60.0,0.9728260869565217
Creek,2024,0,9,88.10228260869569,101.21000000000008,39.316847826086956,9.200000000000001,9.175101184782608,23.040482000000004,28.956521739130434,78.0,1.1576086956521738
Fort Apache,2000,2,81,84.48956521739136,97.61000000000008,17.806521739130435,4.2,8.411623836956522,20.132460000000002,41.29891304347826,124.0,2.119565217391304
Fort Apache,2001,3,72,84.86913043478265,97.97000000000006,15.82554347826087,5.6000000000000005,8.009217782608697,19.685072,43.21739130434783,113.0,2.233695652173913
Fort Apache,2002,4,76,84.15108695652178,98.33000000000004,14.22608695652174,3.1,9.385422173913044,21.25093,54.16304347826087,131.0,2.2065217391304346
Fort Apache,2003,4,76,85.68597826086962,102.65,15.18695652173913,4.7,8.472410250000001,21.25093,50.95108695652174,125.0,2.233695652173913
Fort Apache,2004,2,77,82.14760869565221,94.37000000000006,15.021739130434783,3.7,9.56413422826087,23.040482000000004,51.5,124.0,2.2010869565217392
Fort Apache,2005,0,74,83.19826086956526,100.49000000000002,17.834782608695654,5.6000000000000005,8.783636684782609,18.119214,47.858695652173914,97.0,2.141304347826087
Fort Apache,2006,1,53,81.77195652173917,97.61000000000008,20.205978260869564,4.3,8.180635467391307,20.132460000000002,37.28804347826087,131.0,1.7282608695652173
Fort Apache,2007,0,62,83.46923913043483,100.13000000000004,17.21576086956522,2.7,8.846854554347827,27.066974000000005,47.52717391304348,157.0,2.0652173913043477
Fort Apache,2008,1,41,81.96565217391309,96.17000000000006,18.61358695652174,5.300000000000001,8.607356086956523,30.646078000000003,41.89673913043478,138.0,1.8858695652173914
Fort Apache,2009,4,71,81.87858695652179,95.81000000000009,15.898913043478261,3.6,9.220083130434784,22.816788000000003,48.43478260869565,122.0,2.2880434782608696
Fort Apache,2010,1,72,82.13782608695657,99.59000000000002,17.960869565217394,3.1,8.523470836956523,23.935258000000005,53.32608695652174,133.0,2.0760869565217392
Fort Apache,2011,5,63,83.95250000000004,98.69000000000003,13.904891304347826,1.0,8.64261220652174,22.593094000000004,49.766304347826086,139.0,2.1956521739130435
Fort Apache,2012,3,73,85.30347826086961,98.69000000000003,14.094021739130437,1.0,8.14173216304348,24.158952000000003,54.90217391304348,142.0,2.25
Fort Apache,2013,0,46,81.64478260869569,103.73000000000005,20.66304347826087,2.9000000000000004,8.677868326086957,23.935258000000005,43.59239130434783,119.0,1.690217391304348
Fort Apache,2014,4,55,82.05858695652178,95.81000000000009,21.053260869565218,1.9000000000000001,8.375151989130435,25.053728000000003,48.17934782608695,129.0,1.7228260869565217
Fort Apache,2015,0,35,81.0597826086957,97.79000000000002,23.006521739130434,4.5,8.173341097826087,20.356154,34.30434782608695,96.0,1.6195652173913044
Fort Apache,2016,0,62,82.54282608695657,100.49000000000002,19.04945652173913,4.4,8.208597217391304,17.224438000000003,44.391304347826086,93.0,1.9673913043478262
Fort Apache,2017,2,66,83.47119565217396,101.93000000000004,17.619565217391305,2.5,8.258442076086958,18.566602000000003,48.858695652173914,107.0,2.130434782608696
Fort Apache,2018,1,69,83.20902173913048,97.97000000000006,20.02826086956522,2.4000000000000004,8.501587728260871,23.711564000000006,46.16304347826087,140.0,1.8478260869565217
Fort Apache,2019,0,77,81.5009782608696,97.25,17.271195652173912,1.1,9.03286097826087,20.803542000000004,50.26086956521739,105.0,2.152173913043478
Fort Apache,2020,4,122,86.41869565217395,99.77000000000007,12.03967391304348,1.0,8.566021326086958,22.593094000000004,62.28804347826087,134.0,2.641304347826087
Fort Apache,2021,0,51,82.56630434782613,101.39000000000001,20.27880434782609,1.2000000000000002,8.589120163043479,22.593094000000004,42.31521739130435,119.0,1.7934782608695652
Fort Apache,2022,3,53,82.50663043478265,99.23000000000005,21.132608695652173,1.1,8.437154130434783,21.922012000000002,38.95652173913044,131.0,1.75
